tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,37552,8190,8033155,141990,2017-08-01 16:23:56
892177421306343426,32278,6058,8033155,141990,2017-08-01 00:17:27
891815181378084864,24318,4008,8033155,141990,2017-07-31 00:18:03
891689557279858688,40904,8346,8033155,141990,2017-07-30 15:58:51
891327558926688256,39100,9039,8033155,141990,2017-07-29 16:00:24
891087950875897856,19662,3002,8033155,141990,2017-07-29 00:08:17
890971913173991426,11488,1985,8033779,141991,2017-07-28 16:27:12
890729181411237888,63361,18197,8033155,141990,2017-07-28 00:22:40
890609185150312448,27031,4120,8033155,141990,2017-07-27 16:25:51
890240255349198849,30976,7112,8033155,141990,2017-07-26 15:59:51
890006608113172480,29783,7073,8033155,141990,2017-07-26 00:31:25
889880896479866881,27017,4804,8033155,141990,2017-07-25 16:11:53
889665388333682689,46691,9680,8033155,141990,2017-07-25 01:55:32
889638837579907072,26314,4374,8033155,141990,2017-07-25 00:10:02
889531135344209921,14681,2173,8033155,141990,2017-07-24 17:02:04
889278841981685760,24520,5192,8033155,141990,2017-07-24 00:19:32
888917238123831296,28283,4346,8033155,141990,2017-07-23 00:22:39
888804989199671297,24818,4132,8033155,141990,2017-07-22 16:56:37
888554962724278272,19252,3409,8033155,141990,2017-07-22 00:23:06
888078434458587136,21130,3361,8033155,141990,2017-07-20 16:49:33
887705289381826560,29332,5187,8033155,141990,2017-07-19 16:06:48
887517139158093824,44956,11286,8033155,141990,2017-07-19 03:39:09
887473957103951883,66932,17517,8033155,141990,2017-07-19 00:47:34
887343217045368832,32697,10060,8033155,141990,2017-07-18 16:08:03
887101392804085760,29682,5750,8033155,141990,2017-07-18 00:07:08
886983233522544640,34100,7487,8033155,141990,2017-07-17 16:17:36
886736880519319552,11683,3148,8033155,141990,2017-07-16 23:58:41
886680336477933568,21799,4307,8033155,141990,2017-07-16 20:14:00
886366144734445568,20563,3087,8033155,141990,2017-07-15 23:25:31
886267009285017600,116,4,8033155,141990,2017-07-15 16:51:35
886258384151887873,27186,6087,8033155,141990,2017-07-15 16:17:19
886054160059072513,0,105,8033155,141990,2017-07-15 02:45:48
885984800019947520,31658,6541,8033155,141990,2017-07-14 22:10:11
885528943205470208,34942,6202,8033155,141990,2017-07-13 15:58:47
885518971528720385,19847,3615,8033155,141990,2017-07-13 15:19:09
885311592912609280,0,17902,8033155,141990,2017-07-13 01:35:06
885167619883638784,21277,4230,8033155,141990,2017-07-12 16:03:00
884925521741709313,75082,17601,8033155,141990,2017-07-12 00:01:00
884876753390489601,27084,5423,8033155,141990,2017-07-11 20:47:12
884562892145688576,23579,4521,8033155,141990,2017-07-11 00:00:02
884441805382717440,26221,5474,8033155,141990,2017-07-10 15:58:53
884247878851493888,70782,19806,8033155,141990,2017-07-10 03:08:17
884162670584377345,19772,2878,8033155,141990,2017-07-09 21:29:42
883838122936631299,21249,3330,8033155,141990,2017-07-09 00:00:04
883482846933004288,44578,9579,8033155,141990,2017-07-08 00:28:19
883360690899218434,22029,3581,8033155,141990,2017-07-07 16:22:55
883117836046086144,36070,6436,8033155,141990,2017-07-07 00:17:54
882992080364220416,23236,3788,8033155,141990,2017-07-06 15:58:11
882762694511734784,27473,4726,8033155,141990,2017-07-06 00:46:41
882627270321602560,27135,5881,8033155,141990,2017-07-05 15:48:34
882268110199369728,43624,11205,8033155,141990,2017-07-04 16:01:23
882045870035918850,28503,4785,8033155,141990,2017-07-04 01:18:17
881906580714921986,23616,3284,8033155,141990,2017-07-03 16:04:48
881666595344535552,49141,10326,8033155,141990,2017-07-03 00:11:11
881633300179243008,123,7,8033155,141990,2017-07-02 21:58:53
881536004380872706,48005,15427,8033155,141990,2017-07-02 15:32:16
881268444196462592,22471,5019,8033155,141990,2017-07-01 21:49:04
880935762899988482,16571,2692,8033155,141990,2017-06-30 23:47:07
880872448815771648,20661,3698,8033155,141990,2017-06-30 19:35:32
880465832366813184,27710,6065,8033155,141990,2017-06-29 16:39:47
880221127280381952,26254,4077,8033155,141990,2017-06-29 00:27:25
880095782870896641,26831,4195,8033155,141990,2017-06-28 16:09:20
879862464715927552,21706,3381,8033155,141990,2017-06-28 00:42:13
879674319642796034,302,10,8033155,141990,2017-06-27 12:14:36
879492040517615616,22775,3075,8033155,141990,2017-06-27 00:10:17
879415818425184262,102838,42865,8033155,141990,2017-06-26 19:07:24
879376492567855104,16334,3014,8033155,141990,2017-06-26 16:31:08
879130579576475649,0,6589,8033155,141990,2017-06-26 00:13:58
879050749262655488,21890,4548,8033155,141990,2017-06-25 18:56:45
879008229531029506,18444,2609,8033155,141990,2017-06-25 16:07:47
878776093423087618,18865,3992,8033155,141990,2017-06-25 00:45:22
878604707211726852,29356,6963,8033155,141990,2017-06-24 13:24:20
878404777348136964,0,1247,8033155,141990,2017-06-24 00:09:53
878316110768087041,0,6437,8033155,141990,2017-06-23 18:17:33
878281511006478336,7526,1247,8033155,141990,2017-06-23 16:00:04
878057613040115712,40895,6589,8033155,141990,2017-06-23 01:10:23
877736472329191424,77459,18482,8033155,141990,2017-06-22 03:54:17
877611172832227328,0,78,8033155,141990,2017-06-21 19:36:23
877556246731214848,22107,3686,8033155,141990,2017-06-21 15:58:08
877316821321428993,26648,5037,8033155,141990,2017-06-21 00:06:44
877201837425926144,26387,5418,8033155,141990,2017-06-20 16:29:50
876838120628539392,20116,3235,8033155,141990,2017-06-19 16:24:33
876537666061221889,22915,4498,8033155,141990,2017-06-18 20:30:39
876484053909872640,18254,2317,8033155,141990,2017-06-18 16:57:37
876120275196170240,27198,4535,8033155,141990,2017-06-17 16:52:05
875747767867523072,24512,4160,8033155,141990,2017-06-16 16:11:53
875144289856114688,21351,4793,8033155,141990,2017-06-15 00:13:52
875097192612077568,26675,5885,8033155,141990,2017-06-14 21:06:43
875021211251597312,24808,4588,8033155,141990,2017-06-14 16:04:48
874680097055178752,27108,4515,8033155,141990,2017-06-13 17:29:20
874434818259525634,0,14289,8033155,141990,2017-06-13 01:14:41
874296783580663808,25400,3997,8033155,141990,2017-06-12 16:06:11
874057562936811520,22123,3841,8033155,141990,2017-06-12 00:15:36
